NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Epoch,M,Peri,Node,i,e,n,a,Num_opps,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
1.0,0.0,0.0,18.97,0.15,161.0,0.51,0,2459200.5,307.60489,254.74331,100.55712,22.99644,0.3182479,0.44670358,1.6948181,8,2459317.79281,2.206402,1.1554458,2.2341904,0.761582,1.8289111,Amor
0.0,0.0,0.0,19.3,0.15,45.0,0.27,2,2459200.5,33.51533,118.68303,266.22057,18.66306,0.1255492,0.38681329,1.8655281,2,2459113.85526,2.5480192,1.6313125,2.0997437,0.9180613,1.6459868,Hungaria
0.0,0.0,0.0,17.91,0.15,136.0,0.65,0,2459200.5,342.56135,250.47637,64.60646,22.86902,0.0943165,0.35963328,1.9583763,13,2459248.9901,2.7405909,1.7736691,2.1430835,0.9704777,1.5745175,Hungaria
0.0,0.0,0.0,17.9,0.15,137.0,0.31,0,2459200.5,301.19387,13.1296,162.21735,23.54013,0.0591078,0.36931677,1.9239924,6,2459359.72954,2.6687324,1.8102694,2.0377154,0.9586352,1.5992573,Hungaria
0.0,0.0,0.0,17.1,0.15,89.0,0.44,1,2459000.5,179.85623,279.64841,333.6819,26.69245,0.400911,0.23675541,2.5878322,5,2458240.82892,4.1629785,1.5503418,3.6253226,1.0859454,1.3161577,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,16.6,0.15,136.0,0.53,1,2459200.5,206.29102,187.76727,345.12835,15.46289,0.171351,0.21188317,2.7865815,6,2459925.94238,4.6516564,2.309098,3.264065,1.3523821,1.2738483,MBA
1.0,0.0,0.0,18.5,0.15,163.0,0.45,0,2459200.5,250.20312,323.03045,65.00296,29.01987,0.3348781,0.41286348,1.7862068,7,2459466.43997,2.3872484,1.1880453,2.3843683,0.7929478,1.7208514,Amor
0.0,0.0,0.0,18.04,0.15,61.0,0.51,0,2459200.5,125.71999,243.93513,205.55869,11.50357,0.234635,0.22617734,2.6679027,5,2458644.65293,4.3576764,2.0419193,3.2938861,1.2605125,1.297825,MBA
0.0,0.0,0.0,14.13,0.15,933.0,0.55,0,2459200.5,69.88986,280.42871,82.79104,18.01293,0.1052116,0.17653023,3.1471927,17,2458804.5912,5.5832234,2.8160715,3.4783139,1.5561775,1.2181871,MBA
0.0,0.0,0.0,18.5,0.15,43.0,0.51,0,2459000.5,199.98822,83.1315,164.13932,22.64673,0.0638376,0.37778314,1.8951387,5,2459424.05463,2.6089244,1.7741576,2.0161198,0.9437078,1.6215332,Hungaria
0.0,0.0,0.0,13.14,0.15,1790.0,0.48,0,2459200.5,113.40501,320.65283,347.22169,8.9284,0.0702701,0.17478547,3.1681021,21,2458551.67573,5.6389566,2.9454792,3.390725,1.5762292,1.2155657,MBA
0.0,0.0,0.0,17.7,0.15,105.0,0.63,1,2459200.5,230.33725,268.53533,13.93955,19.53769,0.0733472,0.36158403,1.9513263,9,2459559.09648,2.7258054,1.808202,2.0944506,0.9704143,1.5794396,Hungaria
0.0,0.0,0.0,18.1,0.15,61.0,0.36,0,2459000.5,245.15822,31.51911,319.28512,5.30028,0.1995041,0.30406132,2.190258,7,2459378.19285,3.2414768,1.7532925,2.6272235,1.0515408,1.4461344,MBA
